T_K,dIW_dex,rank1,rank2,rank3,rank4,P_total_bar,p_H2O_bar,p_CO2_bar,p_O2_bar,p_H2_bar,p_CO_bar,p_CH4_bar,p_N2_bar,p_NH3_bar,p_S2_bar,p_SO2_bar,p_H2S_bar
1821.4285714285716,5.0,CO2,SO2,CO,N2,2052.2856803674663,5.590115623861906,1759.1153011191338,0.0002942918501385679,0.021411636578695874,26.067130520550773,1.0670202475257916e-11,11.131631623258238,3.0865304139555853e-07,0.05413744500748378,250.29976762753654,0.005890171024756716
1928.5714285714284,-4.0,CO,CH4,H2,CO2,1235.7032895725179,1.3312486751742525,1.7673331623464958,2.129724040794405e-12,150.9665088173158,850.3929585324817,230.96645555699016,0.24586336635918737,0.02252313312591948,8.736015511189212e-09,1.931253531078655e-10,0.01039831979323901
1928.5714285714284,-3.1818181818181817,CO,H2,CH4,CO2,1307.1335726807406,3.122633083686809,5.673150661482205,1.4012162057906093e-11,138.05478719584323,1064.2278918514307,94.23553489926715,1.742747258078357,0.052439118728358484,5.7466844780296615e-08,3.258915405030372e-09,0.02438855148370421
1928.5714285714284,-2.3636363636363633,CO,H2,CO2,CH4,1343.5420665047745,4.730717372541346,16.69962191402193,9.219066967182583e-11,81.53923035536933,1221.3103830074115,14.70772419663974,4.479282990017925,0.03816059489482061,3.780432350273533e-07,5.499420957971848e-08,0.036945640748262454
1928.5714285714284,-1.5454545454545454,CO,CO2,H2,N2,1355.456443007555,5.293677191377734,44.29527680480382,6.065530458052505e-10,35.5718252791945,1262.9493144510523,1.1284791143760429,6.163626697633995,0.012898474924368247,2.48719642870183e-06,9.280750338253272e-07,0.04134157831413207
1928.5714285714284,-0.7272727272727271,CO,CO2,H2,N2,1377.2078988173273,5.471654777595609,111.45511379378654,3.990714013525181e-09,14.33429954161831,1238.9038200384869,0.07008013622610833,6.926669157605735,0.0034977431110859445,1.6364155813128165e-05,1.5662340753112667e-05,0.042731598409914445
1928.5714285714284,0.09090909090909083,CO,CO2,N2,H2,1423.8904891578306,5.539255514854918,263.45151386216213,2.6256233396047637e-08,5.657418113058074,1141.6878567768454,0.003921908164488584,7.50598822168885,0.0009028016170954512,0.000107667252267976,0.0002643221135803866,0.0432599438179485
1928.5714285714284,0.9090909090909092,CO,CO2,N2,H2O,1499.5751257036925,5.567151239389726,551.5862838678653,1.7274848305623355e-07,2.216710551000431,931.899829818026,0.00019160630027663074,8.256079642850818,0.0002322262951455589,0.0007083690506401403,0.00446070282038083,0.04347750734510922
1928.5714285714284,1.7272727272727275,CO2,CO,N2,H2O,1584.7741985947982,5.579398810699168,945.9824919568365,1.1365696651189103e-06,0.8661088278152047,623.0859577154407,7.624731606820665e-06,9.136701534929376,5.96642781971266e-05,0.004657555553730787,0.07525482353764734,0.043558944406426936
1928.5714285714284,2.545454545454546,CO2,CO,N2,H2O,1652.385163101297,5.584853629818234,1301.1465524918938,7.477869448196571e-06,0.3379916303212229,334.11822952267914,2.42746412980022e-07,9.860199146507192,1.5109939880428655e-05,0.030334947681999846,1.2635975150909489,0.0433813867484221
1928.5714285714284,3.363636363636364,CO2,CO,SO2,N2,1716.813550538613,5.587341622122057,1527.8392181996915,4.919938759620281e-05,0.13182824405574664,152.95395131441606,6.590638394656794e-09,10.333252323174914,3.76783774422681e-06,0.17130783542340763,19.756389056610917,0.04020896930217801
1928.5714285714284,4.181818181818182,CO2,SO2,CO,N2,1915.9942201311355,5.589246246113349,1679.5246372015015,0.0003236991173234721,0.05141212753260613,65.55087856867549,1.6748218138337752e-10,10.859281756645006,9.407189425841578e-07,0.24095480097082245,154.15888709012262,0.018597699570253198
1928.5714285714284,5.0,CO2,SO2,CO,N2,2065.103651096667,5.590209305130629,1756.378486962793,0.002129724040794405,0.020047004693661784,26.725099930801548,4.047495293098315e-12,11.160604352138028,2.3220901084771462e-07,0.016474428506987427,265.2087029721178,0.0018961842314053502
2035.7142857142858,-4.0,CO,H2,CH4,CO2,1268.736680396741,1.736343919520335,1.8409476667160023,1.2513822773288744e-11,185.6354246889044,907.0562305280359,172.16508626422058,0.2657801135772275,0.027009174990403086,1.210017206597441e-08,4.07577625136279e-10,0.009858028255619426
2035.7142857142858,-3.1818181818181817,CO,H2,CH4,CO2,1327.119896533965,3.5985797031244755,5.789498929466038,8.233259770023176e-11,149.99104206322576,1112.0974293340494,53.72441984943563,1.846788201296444,0.051708902796575765,7.960061828450244e-08,6.8778800918877705e-09,0.020429464010011014
